id,entry
111,2018-04-17 15-32-31 LAMPC_OFF -1 -1
112,2018-04-17 15-32-31 LAMPB_OFF -1 -1
113,2018-04-17 15-45-14 PRESSURE2_OFF -1 -1
114,2018-04-17 16-36-25 PRESSURE2_ON -1 -1
115,2018-04-17 16-54-48 AWAKE_ON -1 -1
116,2018-04-17 16-54-53 BALLASTS_ON 1 4
117,2018-04-17 16-54-53 LAMPA_ON 1 -1
118,2018-04-17 16-54-53 LAMPB_ON 1 -1
119,2018-04-17 16-54-53 LAMPC_ON 1 -1
120,2018-04-17 16-54-53 LAMPD_ON 1 -1
121,2018-04-17 16-55-05 AWAKE_OFF -1 -1
122,2018-04-17 16-55-05 BALLASTS_OFF -1 -1
123,2018-04-17 16-55-06 LAMPD_OFF -1 -1
124,2018-04-17 16-55-06 LAMPA_OFF -1 -1
125,2018-04-17 16-55-06 LAMPC_OFF -1 -1
126,2018-04-17 16-55-06 LAMPB_OFF -1 -1
127,2018-04-17 16-55-11 AWAKE_ON -1 -1
128,2018-04-17 16-55-16 BALLASTS_ON 1 5
129,2018-04-17 16-55-16 LAMPA_ON 1 -1
130,2018-04-17 16-55-16 LAMPB_ON 1 -1
131,2018-04-17 16-55-16 LAMPC_ON 1 -1
132,2018-04-17 16-55-16 LAMPD_ON 1 -1
133,2018-04-17 16-56-52 AWAKE_OFF -1 -1
134,2018-04-17 16-56-52 BALLASTS_OFF -1 -1
135,2018-04-17 16-56-53 LAMPD_OFF -1 -1
136,2018-04-17 16-56-53 LAMPA_OFF -1 -1
137,2018-04-17 16-56-53 LAMPC_OFF -1 -1
138,2018-04-17 16-56-53 LAMPB_OFF -1 -1
139,2018-04-17 16-59-41 AWAKE_ON -1 -1
140,2018-04-17 16-59-46 BALLASTS_ON 3 6
141,2018-04-17 16-59-46 LAMPA_ON 3 -1
142,2018-04-17 16-59-46 LAMPB_ON 3 -1
143,2018-04-17 16-59-46 LAMPC_ON 3 -1
144,2018-04-17 16-59-46 LAMPD_ON 3 -1
145,2018-04-17 16-59-56 AWAKE_OFF -1 -1
146,2018-04-17 16-59-56 BALLASTS_OFF -1 -1
147,2018-04-17 16-59-56 LAMPD_OFF -1 -1
148,2018-04-17 16-59-56 LAMPA_OFF -1 -1
149,2018-04-17 16-59-57 LAMPC_OFF -1 -1
150,2018-04-17 16-59-57 LAMPB_OFF -1 -1
151,2018-04-17 17-00-13 AWAKE_ON -1 -1
152,2018-04-17 17-00-18 BALLASTS_ON 4 7
153,2018-04-17 17-00-18 LAMPA_ON 4 -1
154,2018-04-17 17-00-18 LAMPB_ON 4 -1
155,2018-04-17 17-00-18 LAMPC_ON 4 -1
156,2018-04-17 17-00-18 LAMPD_ON 4 -1
157,2018-04-17 17-00-44 LAMPD_OFF -1 -1
